#versa_id,bundle,proto_id,name,long_name,family,subfamily,risk,productivity,proto_feature,tags,host_pattern,spack-version,latency,jitter,path_mtu,bandwidth,throughput,pkt_loss,tcp_timeout,ips,description,deprecated,flexvnf
1,1,0,UNKNOWN_TCP,Unknown_TCP,networking,unknown,2,2,0,basic,,1210,0,0,0,0,0,0,300,0,Unknown_TCP,0,N/A
2,1,0,UNKNOWN_UDP,Unknown_UDP,networking,unknown,2,2,0,basic,,1210,0,0,0,0,0,0,300,0,Unknown_UDP,0,N/A
3,1,0,UNKNOWN_IPV4,Unknown_IPv4,networking,unknown,2,2,0,basic,,1210,0,0,0,0,0,0,300,0,Unknown_IPv4,0,N/A
4,1,0,UNKNOWN_IPV6,Unknown_IPv6,networking,unknown,2,2,0,basic,,1210,0,0,0,0,0,0,300,0,Unknown_IPv6,0,N/A
5,1,0,UNKNOWN_HTTP,Unknown_HTTP,general-internet,internet-utility,2,3,16,basicweb,,1210,0,0,0,0,0,0,300,0,Unknown_HTTP,0,N/A
6,1,0,UNKNOWN_SSL,Unknown_SSL,networking,encrypted-tunnel,2,3,16,basicnetworking,,1210,0,0,0,0,0,0,300,0,Unknown_SSL,0,N/A
7,1.7,3,BASE,Base virtual protocol,networking,standard,2,3,0,basic,,1210,400,40,1400,1000,800,4,300,0,"Base is a virtual protocol, specific to ixEngine, that is always present at the beginning of the protocol path (e.g. base.eth.ip.tcp.http). It provides attributes unrelated to any protocols, such as information about the Flow (like flow_id). Note: the attributes of Base are not supported in ixEngine version 5, except for office365_endpoint_category, ml_etc, and ml_etc_score (which are not available in ixEngine version 4).",1,N/A
8,1.7,4,UNKNOWN,Unknown virtual protocol,networking,standard,4,3,0,basic,,1210,400,40,1400,1000,800,4,300,0,"Unknown is a virtual protocol created for DPI that represents flows that are not recognized by the system. Most of the time, its presence is due to the existence of a business application whose specifications are not made available to the public. Such flows can be defined in the system by means of a User Defined Application.",0,N/A
9,1.7,5,MALFORMED,Malformed virtual protocol,networking,standard,4,3,0,basic,,1210,400,40,1400,1000,800,4,300,0,A packet belongs to the protocol 'malformed' if the protocol announced by the lower level protocol does not correspond to the one determined by the system.,1,N/A
10,1.7,6,INCOMPLETE,Incomplete virtual protocol,networking,standard,4,3,0,basic,,1210,400,40,1400,1000,800,4,300,0,Incomplete is used when the protocol signature is too long.,1,N/A
11,1.26,1123,050PLUS,050 plus,media,audio_video,4,2,0,im_mcvoipv_non_businessv_audio_streamvs_dataleak,,1210,100,10,1400,1000,800,2,300,0,050 plus is a Japanese embedded smartphone application dedicated to audio-conferencing.,0,N/A
12,1.26,584,0ZZ0,0zz0.com,general-internet,web,4,2,0,webfile_mngtv_non_businessv_cloudvs_filetransferv_data,,1210,700,80,1400,1000,800,5,300,0,"0zz0 is an online solution to store, send and share files",0,N/A
13,1.26,266,2SHARED,2Shared,general-internet,web,5,2,0,webfile_mngtv_non_businessv_cloudvs_vulnerablevs_misusedvs_filetransferv_data,,1210,700,80,1400,1000,800,5,300,0,2shared is an online space for sharing and storage.,0,N/A
14,1.7,1437,3GPP_LI,3GPP LI,networking,tunneling,2,3,1,networking,,1210,600,60,1400,1000,800,5,300,0,3gpp_li is a protocol which form a standard for telecoms operators and networks operators.,1,N/A
15,1.7,606,3PC,Third Party Connect,networking,network-service,3,3,0,basicnetworking,,1210,300,30,1400,1000,800,4,300,0,The 3pc protocol (Third Party Connect Protocol) is found over the IP layer (IANA protocol number: 34).,1,N/A
16,1.18,1290,802_11,802.11,networking,network-service,2,3,0,basicnetworkingstandardized,,1210,300,30,1400,1000,800,4,300,0,The 802.11 protocol is used to carry data (at MAC level) on IEEE 802.11 Wireless Local Area Networks.,0,N/A
17,1.18,7,8021Q,802.1Q Ethernet VLAN,networking,network-service,2,3,3,basicnetworkingstandardized,,1210,300,30,1400,1000,800,4,300,0,802.1Q is a protocol which allows sending VLAN membership information of a frame.,1,N/A
18,1.18,939,ACSE,Association Control Service,networking,network-service,2,3,0,networkingstandardized,,1210,300,30,1400,1000,800,4,300,0,ISO 8650-1/X.227 OSI Association Control SErvice (ACSE).,0,N/A
19,1.7,607,ACTIVENET,Active Networks,networking,network-service,2,3,0,basicnetworking,,1210,300,30,1400,1000,800,4,300,0,The activenet protocol (Active Networks) is found over the IP layer (IANA protocol number: 107).,1,N/A
20,1.33,911,ACTIVESYNC,Exchange ActiveSync (EAS),collaboration,mail,1,3,0,networkingmobileenterprisestandardizedv_businessvs_vulnerablevs_filetransferv_data,,1210,500,50,1400,1000,800,3,300,0,"Exchange ActiveSync (EAS) is a mobile data synchronization technology and protocol developed by Microsoft, originally released in 1996. This protocol is designed for the synchronization of email, contacts, calendar, tasks and notes.",0,N/A
21,1.26,1438,ADC,Advanced Direct Connect,collaboration,peer-to-peer,3,3,0,p2pfile_mngtv_non_businessvs_evasivevs_malware,,1210,400,30,1400,1000,800,3,300,0,ADC is a peer-to-peer protocol widely used in Direct Connect networks. It superseeds the protocol NMDC and corrects many flaws identified in this older protocol.,0,N/A
22,1.37,929,ADOBE_CONNECT,Adobe Connect,media,audio_video,1,3,0,im_mcenterprisecloud_servicesv_businessvs_evasivevs_bandwidthvs_vulnerable,,1210,100,10,1400,1000,800,2,300,0,"Adobe Connect is a web communication system for the training, the marketing, the conferences and the online collaboration.",0,N/A
23,1.26,549,ADOBE_UPDATE,Adobe Update Manager,general-internet,web,1,3,0,updatev_businessvs_filetransferv_data,,1210,700,80,1400,1000,800,5,300,0,The Adobe Update Manager is a program which maintains up-to-date versions of Adobe Acrobat Reader software.,0,N/A
24,1.7,720,AH,Authentication Header,networking,network-service,1,3,0,basicnetworking,,1210,300,30,1400,1000,800,4,300,0,The ah protocol (Authentication Header) is found over the IP layer (IANA protocol number: 51). Deprecated.,1,N/A
25,1.26,8,AIM,AOL Instant Messenger (formerly OSCAR),collaboration,instant-messaging,3,3,60,im_mcchatfile_transferv_non_businessvs_vulnerablevs_malwarevs_dataleakvs_filetransferv_data,,1210,250,20,500,1000,800,3,300,0,AIM (originally AOL Instant Messenger) is an instant messaging application. The protocol name is OSCAR (Open System for CommunicAtion in Realtime) and is used in both ICQ and AIM services.,0,N/A
26,1.26,275,AIM_EXPRESS,AIM express,collaboration,instant-messaging,2,3,0,im_mcchatv_non_businessvs_evasivevs_vulnerablevs_malwarevs_dataleakv_data,,1210,250,20,500,1000,800,3,300,0,"AOL Instant Messaging Express supports many of the standard features included in AIM, but does not provide advanced features like file transfer, audio chat or video conferencing. Deprecated.",1,N/A
27,1.26,281,AIMS,Secure AIM,collaboration,instant-messaging,2,3,0,im_mcv_non_businessvs_dataleak,,1210,250,20,500,1000,800,3,300,0,AIMS is the secure version of AIM.,0,N/A
28,1.26,245,AIM_TRANSFER,AIM Transfer,general-internet,file-transfer,4,3,16,im_mcfile_transferv_non_businessvs_vulnerablevs_malwarevs_dataleakvs_filetransferv_data,,1210,700,75,1400,1000,800,5,300,0,AIM is an instant messaging protocol. This plug-in classifies download flows of files that are exchanged between AIM application users.,0,N/A
29,1.7,897,ALTIRIS,Altiris,networking,network-management,2,4,0,networkingenterprisev_business,,1210,600,60,1400,1000,800,12,300,0,Altiris provides service-oriented management solutions which allow managing IT infrastructures. Altiris was founded in 1998 and acquired by Symantec in 2007.,0,N/A
30,1.26,1167,AMAZON_MP3,Amazon MP3,general-internet,web,2,2,0,webmm_streamingv_non_businessv_audio_streamvs_bandwidthvs_vulnerablevs_filetransferv_datav_av,,1210,700,80,1400,1000,800,5,300,0,Amazon MP3 is an online music store owned and operated by Amazon.com. Deprecated,1,N/A
31,1.37,1240,AMAZON_VIDEO,Amazon Prime Video,general-internet,web,2,2,4,webmm_streamingv_non_businessv_video_streamvs_evasivevs_bandwidthvs_vulnerablev_av,,1210,700,80,1400,1000,800,5,300,0,Amazon Prime Video is an online video on demand service owned and operated by Amazon.,0,N/A
32,1.7,9,AMQP,Advance Message Queuing Protocol,business-system,middleware,2,3,0,networkingenterprisev_business,,1210,400,40,1400,1000,800,3,300,0,"AMQP (Advanced Message Queuing Protocol) is an open standard application layer protocol for message-oriented middleware, originated in 2003 by JP Morgan Chase in London.",0,N/A
33,1.7,727,ANY_0HOP,Any 0-hop,networking,network-service,3,3,0,basicnetworking,,1210,300,30,1400,1000,800,4,300,0,The any_0hop protocol (Any 0-hop protocol) is found over the IP layer (IANA protocol number: 114).,1,N/A
34,1.18,10,APOLLO,Apollo Domain:XEROX,networking,routing,3,3,0,networkingstandardizedv_business,,1210,250,30,1400,1000,800,2,300,0,Apollo is the routing protocol implemented natively in Apollo workstations.,0,N/A
35,1.26,1688,APPLE_AIRPLAY,Apple AirPlay,media,audio_video,2,3,4,p2pmm_streamingv_non_businessv_video_streamvs_bandwidth,,1210,100,10,1400,1000,800,2,300,0,Apple airplay is a protocol for display picture and video to a connected tv from a device connected to the same private network,0,N/A
36,1.26,946,APPLE_AIRPORT,Apple Airport,general-internet,web,2,3,0,networkingmobilev_businessvs_vulnerable,,1210,700,80,1400,1000,800,5,300,0,Apple Airport is a protocol aiming to configure a wireless device.,0,N/A
37,1.7,1689,APPLE_AIRPRINT,Apple AirPrint,business-system,printer,2,3,0,enterprisev_business,,1210,300,30,1400,1000,800,1,300,0,Apple Airprint is a network printing feature for Apple systems. It's based on the Dns Service Discovery protocol and IPP(needs URF format support).,0,N/A
