#3rd_Party_Interface,3rd_Party_Zone_Name,Versa_Zone_Name,Versa_Interface_Name,Versa_Paired_Interface_Name,Versa_VRF_Name,3rd_Party_Vsys_Name,Versa_Tenant_Name
ethernet1/21,UNTRUST3333,RobK-Demo-1-UNTRUST3333,vni-0/0.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/1,WAN,RobK-Demo-1-WAN,vni-0/1.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/2,VPN,RobK-Demo-1-VPN,vni-0/2.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/3,EXTERNAL,RobK-Demo-1-EXTERNAL,vni-0/3.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/4,INTERNAL,RobK-Demo-1-INTERNAL,vni-0/4.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22,NDISLAB,RobK-Demo-1-NDISLAB,vni-0/5.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/1,TRUST-NFLAB-CS3,RobK-Demo-1-TRUST-NFLAB-CS3,vni-0/6.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/3,TRUST-NFLAB-SG300-1,RobK-Demo-1-TRUST-NFLAB-SG300-1,vni-0/7.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/2,UNTRUST-NFLAB-CS3,RobK-Demo-1-UNTRUST-NFLAB-CS3,vni-0/8.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/4,UNTRUST-NFLAB-SG300-1,RobK-Demo-1-UNTRUST-NFLAB-SG300-1,vni-0/9.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/21,BCAST-CORP,RobK-Demo-1-BCAST-CORP,vni-0/10.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.3441,DMZ,RobK-Demo-1-DMZ,vni-0/11.3441,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ae2,OUTER,RobK-Demo-1-OUTER,ae2.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/21,CFWLH-REGIONAL,RobK-Demo-1-CFWLH-REGIONAL,vni-0/13.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22,CFWGM-GLOBAL,RobK-Demo-1-CFWGM-GLOBAL,vni-0/14.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/1,CFW-PORTAL-GW,RobK-Demo-1-CFW-PORTAL-GW,vni-0/15.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1152,DDMZ-01,RobK-Demo-1-DDMZ-01,vni-0/14.1152,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1153,DDMZ-02,RobK-Demo-1-DDMZ-02,vni-0/14.1153,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1154,DDMZ-03,RobK-Demo-1-DDMZ-03,vni-0/14.1154,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1155,DDMZ-04,RobK-Demo-1-DDMZ-04,vni-0/14.1155,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1156,DDMZ-05,RobK-Demo-1-DDMZ-05,vni-0/14.1156,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1160,DDMZ-09,RobK-Demo-1-DDMZ-09,vni-0/14.1160,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/21,DDMZ-OUTSIDE,RobK-Demo-1-DDMZ-OUTSIDE,vni-0/22.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1161,DDMZ-ALPHA,RobK-Demo-1-DDMZ-ALPHA,vni-0/14.1161,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1166,DDMZ-BBAQC,RobK-Demo-1-DDMZ-BBAQC,vni-0/14.1166,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1157,DDMZ-BGOV-APP,RobK-Demo-1-DDMZ-BGOV-APP,vni-0/14.1157,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1167,DDMZ-BGOV-WEB,RobK-Demo-1-DDMZ-BGOV-WEB,vni-0/14.1167,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1170,DDMZ-BRAIS,RobK-Demo-1-DDMZ-BRAIS,vni-0/14.1170,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1168,DDMZ-CHRTDEV,RobK-Demo-1-DDMZ-CHRTDEV,vni-0/14.1168,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1162,DDMZ-CRYPTO,RobK-Demo-1-DDMZ-CRYPTO,vni-0/14.1162,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1163,DDMZ-DEVDB,RobK-Demo-1-DDMZ-DEVDB,vni-0/14.1163,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/5,DDMZ-ESXMGMT,RobK-Demo-1-DDMZ-ESXMGMT,vni-0/31.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1169,DDMZ-LBFARMS,RobK-Demo-1-DDMZ-LBFARMS,vni-0/14.1169,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.1176,DDMZ-TEKNAVO,RobK-Demo-1-DDMZ-TEKNAVO,vni-0/14.1176,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/22.3672,DDMZ-HFN,RobK-Demo-1-DDMZ-HFN,vni-0/14.3672,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/17,TRUST,RobK-Demo-1-TRUST,vni-0/35.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/13,UNTRUST,RobK-Demo-1-UNTRUST,vni-0/36.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/3,SBCMGMT,RobK-Demo-1-SBCMGMT,vni-0/37.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/4,INFOSYSMGMT,RobK-Demo-1-INFOSYSMGMT,vni-0/38.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/1,ZONE-INTERNET,RobK-Demo-1-ZONE-INTERNET,vni-0/39.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/4,ZONE-DMZ,RobK-Demo-1-ZONE-DMZ,vni-0/40.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/8,ZONE-BFIN,RobK-Demo-1-ZONE-BFIN,vni-0/41.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/20,BFIN,RobK-Demo-1-BFIN,vni-0/42.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/19.456,DMZ1,RobK-Demo-1-DMZ1,vni-0/43.456,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/19.446,DMZ8,RobK-Demo-1-DMZ8,vni-0/43.446,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
ethernet1/18,BTV,RobK-Demo-1-BTV,vni-0/45.0,,RobK-Demo-1-LAN-VR,vsys1,RobK-Demo-1
