#This file is used to translate the Palo Alto Application or Application Group to the corresponding Versa Application or Application Group
#More information about the Palo Alto Application or Application Group can be found at https://applipedia.paloaltonetworks.com/
#A or G (Application or Application Group),Name,Versa Name
G,ACTIVE-DIRECTORY,{LDAP,LDAPS}	
A,APT-GET,{DEBIAN_UPDATE}
GROUP-ACTIVEDIRECTORY,{LDAP,LDAPS}
GROUP-MSRPC,RDP
GROUP-NETLOGON
GROUP-SMB,SMB
HTTP-AUDIO,HTTPS
HTTP-PROXY,HTTPS
HTTP-VIDEO,HTTPS
KERBEROS,KRB5
MS-DS-SMB,SMB
MS-NETLOGON,
MS-RDP,RDP
MS-SERVICE-CONTROLLER,
MS-UPDATE,
MS-WMI,WMI
NETBIOS-DG,NETBIOS
NETBIOS-NS,NBNS
PING,ECHO
PYTHON-EASY-INSTALL,
SUBVERSION,SVN
T.120,RDP
TRACEROUTE,
UNKNOWN-TCP,
WEB-BROWSING,HTTP
WEB-CRAWLER,HTTPS
YUM
